id, name, version, is_ok, num_vuln, critical, high, medium, low
491, @nestjs/core, v6.6.3, True
492, @nestjs/core, v6.6.2, True
493, @nestjs/core, v6.6.0, True
494, @nestjs/core, v6.5.2, True
495, @nestjs/core, v6.5.1, True
496, @nestjs/core, v6.5.0, True
497, @nestjs/core, v6.4.0, True
498, @nestjs/core, v6.3.2, True
499, @nestjs/core, v6.3.1, True
500, @nestjs/core, v6.3.0, True
501, @nestjs/core, v6.2.3, True
502, @nestjs/core, v6.2.2, True
503, @nestjs/core, v6.2.1, True
504, @nestjs/core, v6.2.0, True
505, @nestjs/core, v6.1.1, True
506, @nestjs/core, v6.1.0, True
507, @nestjs/core, v6.0.5, True
508, @nestjs/core, v6.0.3, True
509, babel-regenerator-runtime, v7.16.2, True
510, babel-regenerator-runtime, v7.16.1, True
511, babel-regenerator-runtime, v7.16.0, True
512, babel-regenerator-runtime, v7.15.8, True
513, babel-regenerator-runtime, v7.15.7, True
514, babel-regenerator-runtime, v7.15.6, True
515, babel-regenerator-runtime, v7.15.5, True
516, babel-regenerator-runtime, v7.15.4, True
517, babel-regenerator-runtime, v7.15.3, True
518, babel-regenerator-runtime, v7.15.2, True
519, babel-regenerator-runtime, v7.15.1, True
520, babel-regenerator-runtime, v7.15.0, True
521, babel-regenerator-runtime, v7.14.9, True
522, babel-regenerator-runtime, v7.14.8, True
523, babel-regenerator-runtime, v7.14.7, True
524, babel-regenerator-runtime, v7.14.6, True
525, babel-regenerator-runtime, v7.14.5, True
526, babel-regenerator-runtime, v7.14.4, True
527, babel-regenerator-runtime, v7.14.3, True
528, babel-regenerator-runtime, v7.14.2, True
529, babel-regenerator-runtime, v7.14.1, True
530, babel-regenerator-runtime, v7.14.0, True
531, babel-regenerator-runtime, v7.13.17, True
532, babel-regenerator-runtime, v7.13.16, True
533, babel-regenerator-runtime, v7.13.15, True
534, babel-regenerator-runtime, v7.13.14, True
535, babel-regenerator-runtime, v7.13.13, True
536, babel-regenerator-runtime, v7.13.12, True
537, babel-regenerator-runtime, v7.13.11, True
538, babel-regenerator-runtime, v7.13.10, True
539, babel-plugin-transform-es2015-constants, v7.16.2, True
540, babel-plugin-transform-es2015-constants, v7.16.1, True
541, babel-plugin-transform-es2015-constants, v7.16.0, True
542, babel-plugin-transform-es2015-constants, v7.15.8, True
543, babel-plugin-transform-es2015-constants, v7.15.7, True
544, babel-plugin-transform-es2015-constants, v7.15.6, True
545, babel-plugin-transform-es2015-constants, v7.15.5, True
546, babel-plugin-transform-es2015-constants, v7.15.4, True
547, babel-plugin-transform-es2015-constants, v7.15.3, True
548, babel-plugin-transform-es2015-constants, v7.15.2, True
549, babel-plugin-transform-es2015-constants, v7.15.1, True
550, babel-plugin-transform-es2015-constants, v7.15.0, True
551, babel-plugin-transform-es2015-constants, v7.14.9, True
552, babel-plugin-transform-es2015-constants, v7.14.8, True
553, babel-plugin-transform-es2015-constants, v7.14.7, True
554, babel-plugin-transform-es2015-constants, v7.14.6, True
555, babel-plugin-transform-es2015-constants, v7.14.5, True
556, babel-plugin-transform-es2015-constants, v7.14.4, True
557, babel-plugin-transform-es2015-constants, v7.14.3, True
558, babel-plugin-transform-es2015-constants, v7.14.2, True
559, babel-plugin-transform-es2015-constants, v7.14.1, True
560, babel-plugin-transform-es2015-constants, v7.14.0, True
561, babel-plugin-transform-es2015-constants, v7.13.17, True
562, babel-plugin-transform-es2015-constants, v7.13.16, True
563, babel-plugin-transform-es2015-constants, v7.13.15, True
564, babel-plugin-transform-es2015-constants, v7.13.14, True
565, babel-plugin-transform-es2015-constants, v7.13.13, True
566, babel-plugin-transform-es2015-constants, v7.13.12, True
567, babel-plugin-transform-es2015-constants, v7.13.11, True
568, babel-plugin-transform-es2015-constants, v7.13.10, True
569, babel-plugin-transform-proto-to-assign, v7.16.2, True
570, babel-plugin-transform-proto-to-assign, v7.16.1, True
571, babel-plugin-transform-proto-to-assign, v7.16.0, True
572, babel-plugin-transform-proto-to-assign, v7.15.8, True
573, babel-plugin-transform-proto-to-assign, v7.15.7, True
574, babel-plugin-transform-proto-to-assign, v7.15.6, True
575, babel-plugin-transform-proto-to-assign, v7.15.5, True
576, babel-plugin-transform-proto-to-assign, v7.15.4, True
577, babel-plugin-transform-proto-to-assign, v7.15.3, True
578, babel-plugin-transform-proto-to-assign, v7.15.2, True
579, babel-plugin-transform-proto-to-assign, v7.15.1, True
580, babel-plugin-transform-proto-to-assign, v7.15.0, True
581, babel-plugin-transform-proto-to-assign, v7.14.9, True
582, babel-plugin-transform-proto-to-assign, v7.14.8, True
583, babel-plugin-transform-proto-to-assign, v7.14.7, True
584, babel-plugin-transform-proto-to-assign, v7.14.6, True
585, babel-plugin-transform-proto-to-assign, v7.14.5, True
586, babel-plugin-transform-proto-to-assign, v7.14.4, True
587, babel-plugin-transform-proto-to-assign, v7.14.3, True
588, babel-plugin-transform-proto-to-assign, v7.14.2, True
589, babel-plugin-transform-proto-to-assign, v7.14.1, True
590, babel-plugin-transform-proto-to-assign, v7.14.0, True
591, babel-plugin-transform-proto-to-assign, v7.13.17, True
592, babel-plugin-transform-proto-to-assign, v7.13.16, True
593, babel-plugin-transform-proto-to-assign, v7.13.15, True
594, babel-plugin-transform-proto-to-assign, v7.13.14, True
595, babel-plugin-transform-proto-to-assign, v7.13.13, True
596, babel-plugin-transform-proto-to-assign, v7.13.12, True
597, babel-plugin-transform-proto-to-assign, v7.13.11, True
598, babel-plugin-transform-proto-to-assign, v7.13.10, True
599, babel-helper-module-imports, v7.16.2, True
600, babel-helper-module-imports, v7.16.1, True
601, babel-helper-module-imports, v7.16.0, True
602, babel-helper-module-imports, v7.15.8, True
